neuron,receptor
DD1,NPR-1
DD2,DOP-3
DD2,MOD-1
DD2,NPR-1
DD3,DOP-3
DD3,MOD-1
DD3,NPR-1
DD4,DOP-3
DD4,MOD-1
DD4,NPR-1
DD5,DOP-3
DD5,MOD-1
DD5,NPR-1
DD6,DOP-3
DD6,MOD-1
DD6,NPR-1
DVA,EGL-6
DVA,FRPR-4
DVA,GGR-3
DVA,GLR-4
DVA,GLR-5
DVA,NMR-1
DVA,SER-2
DVA,SER-4
DVA,TRP-4
DVC,GLR-1
DVC,SER-1
DVC,SER-4
DVC,TRP-4
FLPL,DEG-3
FLPL,DEL-1
FLPL,DES-2
FLPL,GLR-4
FLPL,LGC-53
FLPL,MEC-10
FLPL,NPR-2
FLPL,OSM-9
FLPL,PDFR-1
FLPL,UNC-8
FLPR,DEG-3
FLPR,DEL-1
FLPR,DES-2
FLPR,GLR-4
FLPR,LGC-53
FLPR,MEC-10
FLPR,NPR-2
FLPR,OSM-9
FLPR,PDFR-1
FLPR,UNC-8
HSNL,EGL-6
HSNL,GAR-2
HSNL,GGR-2
HSNL,GLR-5
HSNL,LGC-53
HSNL,LGC-55
HSNL,MEC-6
HSNR,EGL-6
HSNR,GAR-2
HSNR,GGR-2
HSNR,GLR-5
HSNR,LGC-53
HSNR,LGC-55
HSNR,MEC-6
I1L,DOP-4
I1L,FRPR-4
I1L,GLR-7
I1L,GLR-8
I1L,PDFR-1
I1R,DOP-4
I1R,FRPR-4
I1R,GLR-7
I1R,GLR-8
I1R,PDFR-1
I2L,DOP-4
I2L,GLR-7
I2L,GLR-8
I2L,NTR-1
I2L,SER-7
I2R,DOP-4
I2R,GLR-7
I2R,GLR-8
I2R,NTR-1
I2R,SER-7
I3,GLR-7
I3,GLR-8
I3,SER-7
I4,SER-7
I6,GLR-7
I6,GLR-8
I6,SER-7
IL1DL,DEG-3
IL1DL,LGC-55
IL1DL,MEC-6
IL1DL,TRPA-1
IL1DR,DEG-3
IL1DR,LGC-55
IL1DR,MEC-6
IL1DR,TRPA-1
IL1L,DEG-3
IL1L,LGC-55
IL1L,MEC-6
IL1L,TRPA-1
IL1R,DEG-3
IL1R,LGC-55
IL1R,MEC-6
IL1R,TRPA-1
IL1VL,DEG-3
IL1VL,LGC-55
IL1VL,MEC-6
IL1VL,TRPA-1
IL1VR,DEG-3
IL1VR,LGC-55
IL1VR,MEC-6
IL1VR,TRPA-1
IL2DL,DES-2
IL2DL,LGC-53
IL2DL,NPR-1
IL2DL,NPR-5
IL2DR,DES-2
IL2DR,LGC-53
IL2DR,NPR-1
IL2DR,NPR-5
IL2L,DES-2
IL2L,LGC-53
IL2L,NPR-1
IL2L,NPR-5
IL2R,DES-2
IL2R,LGC-53
IL2R,NPR-1
IL2R,NPR-5
IL2VL,DES-2
IL2VL,LGC-53
IL2VL,NPR-1
IL2VL,NPR-5
IL2VR,DES-2
IL2VR,LGC-53
IL2VR,NPR-1
IL2VR,NPR-5
LUAL,GLR-5
LUAL,SER-2
LUAR,GLR-5
LUAR,SER-2
M1,AVR-14
M1,GLR-2
M1,SER-4
M2L,SER-7
M2R,SER-7
M3L,GLR-8
M3L,NPR-1
M3L,SER-7
M3R,GLR-8
M3R,NPR-1
M3R,SER-7
M4,GLR-8
M4,SER7b
M4,SER-7
M5,GLR-8
M5,SER-7
MCL,GLR-8
MCL,SER-7
MCL,TYRA-2
MCR,GLR-8
MCR,SER-7
MCR,TYRA-2
NSML,AEX-2
NSML,DOP-3
NSML,GLR-7
NSML,GLR-8
NSML,SER-2
NSML,SER-4
NSML,TYRA-2
NSMR,AEX-2
NSMR,DOP-3
NSMR,GLR-7
NSMR,GLR-8
NSMR,SER-2
NSMR,SER-4
NSMR,TYRA-2
OLLL,PDFR-1
OLLL,SER-2
OLLR,PDFR-1
OLLR,SER-2
OLQDL,NPR-1
OLQDL,NPR-2
OLQDL,OCR-4
OLQDL,OSM-9
OLQDL,PDFR-1
OLQDL,TRPA-1
OLQDL,TYRA-3
OLQDR,NPR-1
OLQDR,NPR-2
OLQDR,OCR-4
OLQDR,OSM-9
OLQDR,PDFR-1
OLQDR,TRPA-1
OLQDR,TYRA-3
OLQVL,NPR-1
OLQVL,NPR-2
OLQVL,OCR-4
OLQVL,OSM-9
OLQVL,PDFR-1
OLQVL,TRPA-1
OLQVL,TYRA-3
OLQVR,NPR-1
OLQVR,NPR-2
OLQVR,OCR-4
OLQVR,OSM-9
OLQVR,PDFR-1
OLQVR,TRPA-1
OLQVR,TYRA-3
PDA,DOP-2
PDA,EXP-1
PDA,SER-2
PDA,UNC-8
PDB,UNC-8
PDEL,DOP-2
PDER,DOP-2
PHAL,GCY-12
PHAL,NPR-1
PHAL,NPR-5
PHAL,OCR-2
PHAL,OSM-9
PHAL,PDFR-1
PHAL,SER-3
PHAL,SRB-6
PHAL,SRG-13
PHAR,GCY-12
PHAR,NPR-1
PHAR,NPR-5
PHAR,OCR-2
PHAR,OSM-9
PHAR,PDFR-1
PHAR,SER-3
PHAR,SRB-6
PHAR,SRG-13
PHBL,NPR-1
PHBL,NPR-5
PHBL,OCR-2
PHBL,OSM-9
PHBL,PDFR-1
PHBL,SER-3
PHBL,SRB-6
PHBR,NPR-1
PHBR,NPR-5
PHBR,OCR-2
PHBR,OSM-9
PHBR,PDFR-1
PHBR,SER-3
PHBR,SRB-6
PHCL,DOP-1
PHCR,DOP-1
PLML,DEG-3
PLML,DES-2
PLML,DOP-1
PLML,GLR-8
PLML,MEC-2
PLML,MEC-4
PLML,MEC-6
PLML,MEC-9
PLML,PDFR-1
PLMR,DEG-3
PLMR,DES-2
PLMR,DOP-1
PLMR,GLR-8
PLMR,MEC-2
PLMR,MEC-4
PLMR,MEC-6
PLMR,MEC-9
PLMR,PDFR-1
PLNL,DOP-1
PLNR,DOP-1
PQR,DOP-4
PQR,GCY-32
PQR,GCY-35
PQR,NPR-1
PQR,NPR-4
PQR,NPR-17
PQR,NTR-1
PQR,NTR-2
PQR,PDFR-1
PVCL,PDFR-1
PVCL,SER-2
PVCR,PDFR-1
PVCR,SER-2
PVDL,DEG-3
PVDL,DES-2
PVDL,DOP-1
PVDL,DOP-3
PVDL,GLR-4
PVDL,LGC-53
PVDL,MEC-6
PVDL,MEC-9
PVDL,MEC-10
PVDL,NPR-2
PVDL,OSM-9
PVDL,SER-2
PVDL,TRPA-1
PVDL,TYRA-2
PVDR,DEG-3
PVDR,DES-2
PVDR,DOP-1
PVDR,DOP-3
PVDR,GLR-4
PVDR,LGC-53
PVDR,MEC-6
PVDR,MEC-9
PVDR,MEC-10
PVDR,NPR-2
PVDR,OSM-9
PVDR,SER-2
PVDR,TRPA-1
PVDR,TYRA-2
PVM,FRPR-4
PVM,GAR-1
PVM,MEC-2
PVM,MEC-4
PVM,MEC-6
PVM,MEC-9
PVM,MEC-10
PVM,PDFR-1
PVM,UNC-8
PVPL,NPR-17
PVPL,NTR-2
PVPR,NPR-17
PVPR,NTR-2
PVQL,DOP-1
PVQL,GGR-1
PVQL,GLR-1
PVQL,GLR-5
PVQL,NPR-2
PVQL,NPR-17
PVQL,NTR-1
PVQL,NTR-2
PVQL,PDFR-1
PVQL,SER-1
PVQL,SER-3
PVQL,SRA-6
PVQR,DOP-1
PVQR,GGR-1
PVQR,GLR-1
PVQR,GLR-5
PVQR,NPR-2
PVQR,NPR-17
PVQR,NTR-1
PVQR,NTR-2
PVQR,PDFR-1
PVQR,SER-1
PVQR,SER-3
PVQR,SRA-6
PVR,NTR-1
PVR,NTR-2
PVT,SER-1
PVT,SER-2
PVT,SER-4
PVT,TYRA-3
PVWL,NTR-1
PVWL,NTR-2
PVWL,PDFR-1
PVWR,NTR-1
PVWR,NTR-2
PVWR,PDFR-1
RIAL,DOP-2
RIAL,FRPR-4
RIAL,SER-1
RIAL,SER-2
RIAR,DOP-2
RIAR,FRPR-4
RIAR,SER-1
RIAR,SER-2
RIBL,DOP-1
RIBL,SER-4
RIBR,DOP-1
RIBR,SER-4
RICL,DOP-3
RICL,MOD-1
RICL,NTR-1
RICL,SER-1
RICL,SER-2
RICL,SER-6
RICR,DOP-3
RICR,MOD-1
RICR,NTR-1
RICR,SER-1
RICR,SER-2
RICR,SER-6
RID,DOP-2
RID,MOD-1
RID,SER-2
RIFL,NTR-2
RIFL,PDFR-1
RIFR,NTR-2
RIFR,PDFR-1
RIGL,NPR-1
RIGR,NPR-1
RIML,DOP-1
RIML,MOD-1
RIML,SER-4
RIMR,DOP-1
RIMR,MOD-1
RIMR,SER-4
RIS,DOP-1
RIS,GLR-1
RIS,SER-4
RIVL,NPR-1
RIVL,NPR-4
RIVR,NPR-1
RIVR,NPR-4
RMDDL,GLR-1
RMDDL,LGC-55
RMDDL,SER-1
RMDDR,GLR-1
RMDDR,LGC-55
RMDDR,SER-1
RMDL,GLR-1
RMDL,LGC-55
RMDL,SER-1
RMDR,GLR-1
RMDR,LGC-55
RMDR,SER-1
RMDVL,GLR-1
RMDVL,LGC-55
RMDVL,SER-1
RMDVR,GLR-1
RMDVR,LGC-55
RMDVR,SER-1
RMED,AVR-15
RMED,GLR-1
RMED,MOD-1
RMED,NTR-2
RMED,PDFR-1
RMED,SER-2
RMEL,AVR-15
RMEL,GLR-1
RMEL,MOD-1
RMEL,NTR-2
RMEL,PDFR-1
RMEL,SER-2
RMER,AVR-15
RMER,GLR-1
RMER,MOD-1
RMER,NTR-2
RMER,PDFR-1
RMER,SER-2
RMEV,AVR-15
RMEV,GLR-1
RMEV,MOD-1
RMEV,NTR-2
RMEV,PDFR-1
RMEV,SER-2
RMFL,SER-1
RMFR,SER-1
RMGL,NPR-1
RMGR,NPR-1
RMHL,SER-1
RMHR,SER-1
SAADL,NPR-1
SAADR,NPR-1
SABD,NPR-2
SABD,SER-2
SABVL,NPR-2
SABVL,SER-2
SABVR,NPR-2
SABVR,SER-2
SDQL,EGL-6
SDQL,LGC-55
SDQL,NPR-1
SDQL,SER-2
SDQL,TYRA-3
SDQR,EGL-6
SDQR,LGC-55
SDQR,NPR-1
SDQR,SER-2
SDQR,TYRA-3
SIADL,DOP-2
SIADL,DOP-3
SIADL,SER-2
SIADL,SER-3
SIADL,SER-6
SIADR,DOP-2
SIADR,DOP-3
SIADR,SER-2
SIADR,SER-3
SIADR,SER-6
SIAVL,DOP-2
SIAVL,DOP-3
SIAVL,SER-2
SIAVL,SER-3
SIAVL,SER-6
SIAVR,DOP-2
SIAVR,DOP-3
SIAVR,SER-2
SIAVR,SER-3
SIAVR,SER-6
SIBDL,DOP-2
SIBDR,DOP-2
SIBVL,DOP-2
SIBVR,DOP-2
SMBDL,NPR-1
SMBDR,NPR-1
SMDDL,LGC-55
SMDDL,NTR-2
SMDDR,LGC-55
SMDDR,NTR-2
SMDVL,LGC-55
SMDVL,NTR-2
SMDVR,LGC-55
SMDVR,NTR-2
URXL,GCY-1
URXL,GCY-25
URXL,GCY-32
URXL,GCY-34
URXL,GCY-35
URXL,GCY-36
URXL,GCY-37
URXL,NPR-1
URXL,PDFR-1
URXL,SRA-10
URXR,GCY-1
URXR,GCY-25
URXR,GCY-32
URXR,GCY-34
URXR,GCY-35
URXR,GCY-36
URXR,GCY-37
URXR,NPR-1
URXR,PDFR-1
URXR,SRA-10
URYDL,LGC-53
URYDL,PDFR-1
URYDL,SER-1
URYDR,LGC-53
URYDR,PDFR-1
URYDR,SER-1
URYVL,LGC-53
URYVL,PDFR-1
URYVL,SER-1
URYVR,LGC-53
URYVR,PDFR-1
URYVR,SER-1
VA1,CKR-2
VA1,DOP-1
VA1,DOP-3
VA1,LGC-53
VA1,NPR-3
VA10,CKR-2
VA10,DOP-1
VA10,DOP-3
VA10,LGC-53
VA10,NPR-3
VA11,CKR-2
VA11,DOP-1
VA11,DOP-3
VA11,LGC-53
VA11,NPR-3
VA12,CKR-2
VA12,DOP-1
VA12,DOP-3
VA12,LGC-53
VA12,NPR-3
VA2,CKR-2
VA2,DOP-1
VA2,DOP-3
VA2,LGC-53
VA2,NPR-3
VA3,CKR-2
VA3,DOP-1
VA3,DOP-3
VA3,LGC-53
VA3,NPR-3
VA4,CKR-2
VA4,DOP-1
VA4,DOP-3
VA4,LGC-53
VA4,NPR-3
VA5,CKR-2
VA5,DOP-1
VA5,DOP-3
VA5,LGC-53
VA5,NPR-3
VA6,CKR-2
VA6,DOP-1
VA6,DOP-3
VA6,LGC-53
VA6,NPR-3
VA7,CKR-2
VA7,DOP-1
VA7,DOP-3
VA7,LGC-53
VA7,NPR-3
VA8,CKR-2
VA8,DOP-1
VA8,DOP-3
VA8,LGC-53
VA8,NPR-3
VA9,CKR-2
VA9,DOP-1
VA9,DOP-3
VA9,LGC-53
VA9,NPR-3
VB1,CKR-2
VB1,DOP-1
VB1,DOP-3
VB1,NPR-3
VB10,CKR-2
VB10,DOP-1
VB10,DOP-3
VB10,NPR-3
VB11,CKR-2
VB11,DOP-1
VB11,DOP-3
VB11,NPR-3
VB2,CKR-2
VB2,DOP-1
VB2,DOP-3
VB2,NPR-3
VB3,CKR-2
VB3,DOP-1
VB3,DOP-3
VB3,NPR-3
VB4,CKR-2
VB4,DOP-1
VB4,DOP-3
VB4,NPR-3
VB5,CKR-2
VB5,DOP-1
VB5,DOP-3
VB5,NPR-3
VB6,CKR-2
VB6,DOP-1
VB6,DOP-3
VB6,NPR-3
VB7,CKR-2
VB7,DOP-1
VB7,DOP-3
VB7,NPR-3
VB8,CKR-2
VB8,DOP-1
VB8,DOP-3
VB8,NPR-3
VB9,CKR-2
VB9,DOP-1
VB9,DOP-3
VB9,NPR-3
VC1,GLR-5
VC2,GLR-5
VC3,GLR-5
VC4,GLR-5
VC5,GLR-5
VC6,GLR-5
VD1,DOP-3
VD1,MOD-1
VD1,NPR-1
VD1,SER-2
VD10,DOP-3
VD10,MOD-1
VD10,NPR-1
VD10,SER-2
VD11,DOP-3
VD11,MOD-1
VD11,NPR-1
VD11,SER-2
VD12,DOP-3
VD12,MOD-1
VD12,NPR-1
VD12,SER-2
VD13,DOP-3
VD13,MOD-1
VD13,NPR-1
VD13,SER-2
VD2,DOP-3
VD2,MOD-1
VD2,NPR-1
VD2,SER-2
VD3,DOP-3
VD3,MOD-1
VD3,NPR-1
VD3,SER-2
VD4,DOP-3
VD4,MOD-1
VD4,NPR-1
VD4,SER-2
VD5,DOP-3
VD5,MOD-1
VD5,NPR-1
VD5,SER-2
VD6,DOP-3
VD6,MOD-1
VD6,NPR-1
VD6,SER-2
VD7,DOP-3
VD7,MOD-1
VD7,NPR-1
VD7,SER-2
VD8,DOP-3
VD8,MOD-1
VD8,NPR-1
VD8,SER-2
VD9,DOP-3
VD9,MOD-1
VD9,NPR-1
VD9,SER-2
