Homolog/ Ortholog,C. elegans gene,Sequence name,Type,Ligand,Expression pattern*,Properties,Other notes,References**
,acr-13 (lev-8),C35C5.5,nAChR. acr-8 group; alpha subunit,Ach,"Expression of a LEV-8::GFP reporter construct begins at the L1 larval stage. Expression is detected in body wall muscles, uv1 and uv2 uterine muscles, anal depressor muscle, and neurons, including PVT, ALA, many ventral cord neurons, including all DD cells, many head neurons, IL and OL socket cells ",,Required for normal rates of pharyngeal pumping and for fully wild-type responses (increased egg laying and body wall muscle contraction) to the nAChR agonist and antihelmintic levamisole,"Towers et al, 2005; Gottschalk et al, 2005"
deg-3 group (nematode-specific),deg-3,K03B8.9,nAChR. deg-3 group; alpha subunit,ACh,"Consistent with their role in metabolite chemosensation, DEG-3 and DES-2 are expressed in nonsynaptic regions such as the sensory endings of the IL2 chemosensory neurons; DEG-3 and DES-2 are also detected in the touch cell neurons (ALM, AVM, PLM), anterior head muscles, AVG, PVD, PVC, FLP","DEG-3 can form heteromeric channels with a second alpha subunit, DES-2, and in vivo these channels appear to be required for chemosensation of choline; deg-3 and des-2 reside in an operon, and consistent with their role in metabolite chemosensation, are expressed in nonsynaptic regions such as the sensory endings of the IL2 chemosensory neurons ",Originally defined by a gain-of-function mutation that results in neuronal degeneration and uncoordinated movement,"Treinin et al, 1998; Yassin et al, 2001"
,acr-4 (des-2),T26H10.1,nAChR. deg-3 group; alpha subunit,Ach,"Consistent with their role in metabolite chemosensation, DEG-3 and DES-2 are expressed in nonsynaptic regions such as the sensory endings of the IL2 chemosensory neurons; DEG-3 and DES-2 are also detected in the touch cell neurons (ALM, AVM, PLM), anterior head muscles, AVG, PVD, PVC, FLP. Also expressed in ALA","DEG-3 can form heteromeric channels with a second alpha subunit, DES-2, and in vivo these channels appear to be required for chemosensation of choline; deg-3 and des-2 reside in an operon, and consistent with their role in metabolite chemosensation, are expressed in nonsynaptic regions such as the sensory endings of the IL2 chemosensory neurons",,"Treinin et al, 1998; van Buskirk and Sternberg, 2010"
,acr-5,K03F8.2,nAChR. deg-3 group; alpha subunit,Ach,"Expressed exclusively in the nervous system. Expression is initiated in the embryo and persists throughout adult life. Expressed in DB, VB neurons and unidentified neurons in the head and tail .",,,"Winnier et al, 1999"
,acr-17,F53E10.2,nAChR. deg-3 group; alpha subunit ,ACh,Unknown,,,"Mongan et al, 2002; Sattelle et al, 2002; Schafer, 2002"
,acr-18,F28F8.1,nAChR. deg-3 group; alpha subunit,ACh,Unknown,,,"Mongan et al, 2002; Sattelle et al, 2002; Schafer, 2002"
,acr-20,R06A4.10,nAChR. deg-3 group; alpha subunit,ACh,Unknown,,,
,acr-23,F59B1.9,nAChR. deg-3 group; alpha subunit,ACh,Unknown,,,
,acr-24,Y73F8A.30,nAChR. deg-3 group; alpha subunit,Ach,Unknown,,,"Jones and Sattelle, 2004; Jones et al, 2007"
Ungrouped,lgc-11 (acr-22),F48E3.7,"Ligand-gated ion channel of the cys-loop superfamily with sequence similarity to nicotinic acetylcholine receptor subunits, including the vertebrate neuronal acetylcholine receptor alpha-9 subunits",Ach,Unknown,.,,"Mongan et al, 2002; Jones et al, 2007; Jones and Sattelle, 2008"
,acc-1,F58G6.4,Acetylcholine-gated chloride channel (not found in vertebrates),Ach,Unknown,,,"Putrenko et al, 2005"
,acc-2,C53D6.3,Acetylcholine-gated chloride channel (not found in vertebrates),Ach,Unknown,,,"Putrenko et al, 2005"
,acc-3,F55D10.5,Acetylcholine-gated chloride channel (not found in vertebrates),Ach,Unknown,,,"Putrenko et al, 2005"
,acc-4,T27E9.9,Acetylcholine-gated chloride channel (not found in vertebrates),Ach,Unknown,,,"Putrenko et al, 2005"
,lgc-46,Y71D11A.5,Ligand-gated ion channel (acc-1 group),,,,,"Jones and Sattelle, 2008"
,lgc-47,F47A4.1,Ligand-gated ion channel (acc-1 group),,,,,"Jones and Sattelle, 2008"
,lgc-48,C50B6.11,Ligand-gated ion channel (acc-1 group),,,,,"Jones and Sattelle, 2008"
,lgc-49,K10D6.1,Ligand-gated ion channel (acc-1 group),,,,,"Jones and Sattelle, 2008"
,cup-4,C02C2.3,Non-alpha ligand-gated ion channel with similarity to the nicotinic acetylcholine receptors,Ach ?,"Coelomocytes. Localizes primarily to vesicles scattered around the cytoplasm. While some of the CUP-4::GFP localized around the nucleus, presumably in the endoplasmic reticulum (ER) membrane, the general pattern of localization of CUP-4::GFP was quite distinct from that of cytochrome b5, a marker for smooth ER, and from TRAM, a marker for the rough ER.hese results are consistent with CUP-4::GFP localizing at steady state to the Golgi apparatus or to the plasma membrane/endosomes.",,"Required cell autonomously for efficient fluid endocytosis in coelomocytes; cup-4 mutant animals display reduced levels of plasma membrane phosphatidylinositol 4,5-bisphosphate, suggesting that CUP-4 may regulate endocytosis via regulation of phospholipase C activity; in addition, cup-4 mutants display disorganized clathrin and RME-1 at the coelomocyte plasma membrane","Fares and Greenwald, 2001; Jones and Sattelle, 2004; Patton et al, 2005"
,lgc-31,F21A3.7,nAChR? Ligand-gated ion channel,Ach ?,,,,"Jones and Satelle, 2008"
Homolog/ Ortholog,C. elegans gene,Sequence name,Type,Ligand,Expression pattern,Properties,Other notes,References
GABA (gamma-aminobutyric acid ),,,,,,,,
Receptors,,,,,,,,
GABA-AR,unc-49,T21C12.1,Ligand-gated anion (chloride) channel,GABA,"Dorsal and ventral head and body wall muscles on both the dorsal and ventral sides (localized in postsynaptic terminals at the NMJs). Isoform-specific expression also seen in the anal sphincter muscle (unc-49B::gfp but not unc-49C::gfp animals). Variable, weak fluorescence in head ganglia",,"Encodes multiple subunits of a heteromeric GABA receptor. There are 9 cDNA-confirmed or partially-confirmed isoforms (T21C12.1a-T21C12.1i). UNC-49 activity is required for postsynaptic GABA responsiveness, and thus, for normal regulation of locomotion","Bamber et al, 1999; Jorgensen, 2005; Jones et al, 2008"
,lgc-36,F07B10.5,Ligand-gated ion channel (unc-49 group),,,,,"Jones and Satelle, 2008"
Human gamma-aminobutyric acid A receptor gamma 2 (GABRG2),lgc-37,ZC482.5,Ligand-gated ion channel (unc-49 group),,"All of the touch receptor neurons (ALM, AVM, PLM), ventral cord motor neurons, and many neurons in the head and some in the tail.",,,"Jones and Satelle, 2008; Topalidou and Chalfie, 2011"
,lgc-38,F11H8.2,Ligand-gated chloride channel,GABA,AIY,,,"Wenick & Hobert, 2004; Jones and Satelle, 2008"
,gab-1 (gbr-1),ZC482.1,A GABA receptor beta-like subunit with both the neurotransmitter-gated ion-channel ligand binding and transmembrane domains,GABA,"All touch receptor neurons (ALM, AVM, PLM), ventral cord motor neurons, and many neurons in the head and some in the tail.",GAB-1 can form a GABA-responsive channel when co-expressed with alpha/gamma type subunits in a heterologous expression system,Involved in the mechanism of resistance to the widely used broad-spectrum anthelmintic drug Ivermectin,"Feng et al, 2002; Topalidou and Chalfie, 2011"
,ggr-1 (gbr-4),C09G5.1,Ligand-gated chloride channel (a predicted member of the GABA/glycine receptor family of ligand-gated chloride channels),GABA,"AIB, AVH, PVR, PVQ, and SMDV neurons and in some motor neurons in the ventral cord, and in the egg-laying muscles",,Affects thermotaxis.,
,ggr-2 (gbr-5),C45B2.4,Ligand-gated chloride channel (a predicted member of the GABA/glycine receptor family of ligand-gated chloride channels),GABA,"CAN, DD, HSN, SIAV, SMDV, SMDD. Egg-laying muscles (weak)",,Affects thermotaxis.,
,ggr-3 (gbr-6),F09C12.1,Ligand-gated chloride channel (a predicted member of the GABA/glycine receptor family of ligand-gated chloride channels),GABA,"AVA, AVB, DVA, SIAD, SMDD, and in some other neurons of the nerve ring",,,
,lgc-39,F09G2.5,Ligand-gated ion channel (ggr-1 group),,,,,"Jones and Satelle, 2008"
,lgc-40,T24D8.1,Ligand-gated ion channel (ggr-1 group),,,,,"Jones and Satelle, 2008"
,lgc-41,C39B10.2,Ligand-gated ion channel (ggr-1 group),,,,,"Jones and Satelle, 2008"
,lgc-42,Y39A3B.2,Ligand-gated ion channel (ggr-1 group),,,,,"Jones and Satelle, 2008"
,lgc-51,F12B6.3,Ligand-gated ion channel (ggr-3 group),,,,,"Jones and Satelle, 2008"
,lgc-52,Y73F8A.2,Ligand-gated ion channel (ggr-3 group),,,,,"Jones and Satelle, 2008"
,lgc-53,T21F2.1,Ligand-gated ion channel (ggr-3 group),,,,,"Jones and Satelle, 2008"
,lgc-54,T15B7.16,Ligand-gated ion channel (ggr-3 group),,,,,"Jones and Satelle, 2008"
,exp-1,H35N03.1,"Excitatory, cation-selective GABA receptor",GABA,"Intestinal and anal depressor muscles (it localizes to regions consistent with the positions of neuromuscular junctions), neurons, including ADE, PDA, RID and SABD","When expressed in Xenopus oocytes, EXP-1 is capable of forming a cation-selective GABA receptor",Essential for the enteric muscle contractions that are the third in a series of three independent muscle contractions controlling defecation,"Thomas, 1990; Beg and Jorgensen, 2003"
,lgc-35,Y46G5A.26,Ligand-gated ion channel (exp-1 group),GABA,Unknown,,,"Jones and Satelle, 2008"
GABA-BR,,,,,,,,
human GABBR1,gbb-1,Y41G9A.4,"GPCR. Metabotropic GABA receptor. Encodes, by alternative splicing, one isoform of a subunit of the GABAB receptor dimer (Y41G9A.4/ZK180.1, or 'GBB-1/2').",GABA,Unknown,,"Required for inhibition of cholinergic motor neurons by GABA, and thus for normally restrained movement and aldicarb resistance. Y41G9A.4/gbb-1(tm1406) mutants move abnormally fast, with abnormally few changes of direction","Dittman and Kaplan, 2008; Vashlishan et al, 2008"
,gbb-2,ZK180.1,"GPCR. Metabotropic GABA receptor. Encodes a subunit of the GABAB receptor dimer (Y41G9A.4/ZK180.1, or 'GBB-1/2'). orthologous to human GABBR2",GABA,Unknown,,"Required for inhibition of cholinergic motor neurons by GABA, and thus for normally restrained movement and aldicarb resistance. ZK180.1/gbb-2'(tm1165) mutants move abnormally fast, with abnormally few changes of direction","Dittman and Kaplan, 2008; Vashlishan et al, 2008"
Homolog/ Ortholog,C. elegans gene,Sequence name,Type,Ligand,Expression pattern,Properties,Other notes,References
GLYCINE,,,,,,,,
Receptors,,,,,,,,
,lgc-34,T27A1.4,Ligand-gated anion (chloride) channel,Glycine,,,,"Jones et al, 2007; Jones and Satelle, 2008"
GLUTAMATE,,,,,,,,
Receptors,,,,,,,,
Metabotropic glutamate receptors (mGluRs),,,,,,,"The metabotropic glutamate receptors are a family of G protein-coupled receptors, that have been divided into 3 groups in higher organisms on the basis of sequence homology, putative signal transduction mechanisms, and pharmacologic properties. Group I includes GRM1 and GRM5 and these receptors have been shown to activate phospholipase C. Group II includes GRM2 and GRM3, while Group III includes GRM4, GRM6, GRM7 and GRM8. Group II and III receptors are linked to the inhibition of the cyclic AMP cascade but differ in their agonist selectivities. The metabotropic glutamate receptors mediate relatively slow glutamate responses.","Tanabe, 1992"
,mgl-1,ZC506.4,mGluR. A Group II metabotropic glutamate receptor.  GPCR superfamily.,Glutamate,"AIA, AIY, RMDV, RMDD and NSM",,"MGL-1 is required for normal post-embryonic growth rates. MGL-1 is predicted to function as a pre-synaptic G protein-coupled receptor that, in response to glutamate binding, inhibits adenylyl cyclase activity","Wenick and Hobert, 2004; Greer ER et al, 2008"
,mgl-2,F45H11.4,mGluR. A Group I metabotropic glutamate receptor. GPCR superfamily.,Glutamate,Interneurons,,"MGL-2 is predicted by homology, to function as a post-synaptic G protein-coupled receptor that, in response to glutamate binding, stimulates phospholipase C activity and increases neuronal excitation  (in mammalian tissue culture cells, glutamate stimulation of MGL-2 does result in increased phosphoinositide turnover). A mutation in mgl-2 indicates that it is required for normal head movements and tap reversal reflexes, while loss of mgl-2 activity via large-scale RNAi screens indicates that MGL-2 is also required for embryogenesis.",
,mgl-3,Y4C6A.2,mGluR. Related to glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits,Glutamate,"NSM, ADF, ASE, and AWC amphid sensory neurons, and the RIB and RIC interneurons, occasionally in BAG neurons",Related to glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits,,"Greer et al., 2008"
,,F35H10.10,mGluR. Related to glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits. ,Glutamate?,Unknown,Related to glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits,,
Ionotropic glutamate receptors (iGluRs),,,,,,,                                                                                                       ,"Tanabe, 1992"
The anion (Cl-)-specific ionotropic glutamate receptors,,,,,,,,
,glc-1,F11A5.10,iGluR. Ligand-gated anion (chloride) channel; alpha subunit of a glutamate-gated chloride channel,Glutamate,Unknown,Encodes the alpha subunit of a glutamate-gated chloride channel and forms a functional channel in Xenopus oocytes,,"Cully et al, 1994; Etter et al, 1999; Dent et al, 2000"
,glc-2 (avm-2),F25F8.2,iGluR. Beta subunit of a glutamate-gated chloride channel,Glutamate,pm4 pharyngeal muscles of larvae and adults,"GLC-2 is capable of forming homomeric glutamate-activated channels, as well as heteromeric channels with GLC-1 that can be activated by glutamate and avermectins, antihelmintics that inhibit pharyngeal pumping. ","Loss of glc-2 activity via large-scale RNAi screens does not result in any obvious abnormalities, hence, the precise role of GLC-2 in development and/or behavior is not yet known. However, GLC-2 may have a role in regulation of glutamatergic inhibition of pharyngeal pumping","Cully et al, 1994; Laughton et al, 1997; Yates et al, 2003"
,glc-3,ZC317.3,"iGluR. Fipronil and BIDN-sensitive, but picrotoxinin-insensitive, L-glutamate-gated chloride channel subunit",Glutamate,AIY and other head neurons,,"The inhibitory, glutamatergic synapses between AWC neuron and AIA and AIY neurons are via GLC-3. This glutamate signaling pathway between AWC-AIA promotes local search and odor chemotaxis. These responses are modulated (limited) by NLP-1/NPR-11 signaling between AWC and AIA.","Horoszok et al, 2004; Wenick and Hobert, 2004; Chalasani et al., 2007; Chalasani et al., 2010 "
,glc-4,C27H5.8,iGluR. A predicted glutamate-gated chloride channel,Glutamate,Unknown,,Affects ivermectin sensitivity and reversal behavior and genetically interacts with avr-14,
human GLRA-2,avr-14 (gbr-2),B0207.12,iGluR. Alpha-type subunit of a glutamate-gated chloride channel ,Glutamate,"Expressed exclusively in a subset of 40 somatic (extrapharyngeal) neurons. Most of the neurons are in the ring ganglia of the head, but some motor neurons in the ventral cord, mechanosensory neurons",Encodes a glutamate-gated chloride channel alpha-type subunit homolog,"Affects sensitivity to the antiparasitic drug, ivermectin, in parallel with AVR-15 and GLC-1 and in a genetic pathway with unc-9. Functions in the extrapharyngeal nervous system","Culetto and Sattelle, 2000; Dent et al, 2000"
,avr-15,R11G10.1,iGluR. Alpha-type subunit of a glutamate-gated chloride channel,Glutamate,"pm4, pm5 (precisely those muscles onto which M3 synapses; expression begins shortly before hatching and persists throughout adulthood), a few neurons of the head, including RMED, RMEV and RMGs, DA9 and possibly VA12. Some unidentified  neurons contributing to the dorsal and ventral sublateral nerve cords. ","Encodes two glutamate-gated chloride channel alpha-type subunit homologs via alternative splicing. When expressed heterologously in Xenopus oocytes, AVR-15a forms a homomeric channel that is ivermectin-sensitive and glutamate-gated.","The alternative splice products mediate fast inhibitory glutamatergic neuromuscular transmission, as well as ivermectin sensitivity, and are required for normal pharyngeal function (mutation of avr-15 alone renders animals slightly starved and induces an abnormal electropharyngeogram, implying that AVR-15a/b are nonredundant in pm4 and pm5,  onto which M3 synapses. AVR-15a is necessary postsynaptically for a functional M3 synapse and for the hyperpolarizing effect of glutamate on pharyngeal muscle. Simultaneous mutation of avr-14, avr-15, and glc-1 confers high-level resistance to the antiparasitic drug ivermectin, while resistance remains low with mutations in avr-15 alone; this implies that these genes (which all encode glutamate-gated chloride channel alpha-type subunit homologs) have somewhat redundant products for ivermectin resistence","Dent et al, 1997; Dent et al, 2000"
The cation-specific ionotropic glutamate receptors,,,,,,,"The cation-specific ionotropic glutamate receptors  are subdivided into alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA)/Kainate receptors and N-methyl--D-Aspartate (NMDA) receptors. Activation of NMDA receptors results in the opening of an ion channel that is nonselective to cations. A unique property of the NMDA receptor is its voltage-dependent activation, a result of ion channel block by extracellular Mg++ ions. This allows voltage-dependent flow of Na+ and small amounts of Ca++ ions into the cell and K+ out of the cell           ","Brockie and Maricq, 2006"
,glr-1 (not-3),C06E1.4,iGluR. AMPA (non-NMDA)-type ionotropic (Na+/K+) glutamate receptor subunit,Glutamate,"Motor neurons and command interneurons AVA, AVB, AVD, AVE, and PVC. Also AIB, AVG, PVQ, RMD, RIM, SMD, URY",,"GLR-1 activity is required for mediating the behavioral response to light nose touch and the frequency with which animals change locomotory direction in response to sensory cues such as food; GLR-1 and GLR-2 can interact to form functional heteromeric channels. GLR-1 localizes to perinuclear structures in cell bodies and to punctate structures that appear to be glutamatergic postsynaptic specializations. Proper GLR-1 localization in the anterior ventral nerve cord of older larvae and adults requires activity of the class I PDZ protein LIN-10. GLR-1 is ubiquitinated in vivo and its abundance at postsynaptic elements, which may influence postsynaptic strength, is regulated by ubiquitination. GLR-1 trafficking in interneurons has been shown to be regulated by the UEV-1 ubiquitin-conjugating enzyme variant and the UBC-13 ubiquitin-conjugating enzyme.","Maricq et al, 1995; Rongo et al, 1998; Brockie et al, 2001; Hills et al, 2004"
,glr-2,B0280.12,iGluR. AMPA (non-NMDA)-type ionotropic (Na+/K+) glutamate receptor subunit,Glutamate,"Command interneurons AVA, AVD, AVE, PVC. Also in AIA, AIB, AVG, DVA, M1, RIA, RIG, RIR(?), RMDV, RMDD ",,GLR-2 activity is required for mediating the behavioral response to light nose touch and for regulating the frequency with which animals change locomotory direction in response to sensory cues such as food. GLR-2 and GLR-1 can interact to form functional heteromeric channels.,"Brockie et al, 2001; Aronoff et al, 2004"
human GRIK2,glr-3,K10D3.1,iGluR. Ligand-gated ion channel. similar to kainate-selective ionotropic glutamate receptor 2 (human GRIK2),Glutamate,RIA (thermosensory interneron),,,"Brockie et al, 2001"
,glr-4,C06A8.9,iGluR. (non-NMDA)-type,Glutamate,"AUA, AVA (faint), AVH, DVA,  DB(?), FLP,  PVD,  PVU (?), RIB, RIF, RIM, RMD (all), RMG, SAA (all), SAB, SIB (all), SMD (all), URA, URY","Encodes a putative non-NMDA ionotropic glutamate receptor subunit, most closely related to GLR-3 and less so to GLR-7, possibly of the kainate subfamily."," glr-4 expression requires UNC-42, as well as CFI-1 in URA cells.","Brockie et al, 2001; Sprengel at al, 2001; Shaham and Bargmann, 2002"
,glr-5,ZC196.7,iGluR. Kainate (non-NMDA)-type,Glutamate,"AIB (?), AVA, AVB, AVD, AVE, AVK, DVA (?),  HSN (?), LUA, PVC (?), PVQ, RIM, RIC, RIF, RME (all), RMD (all), RMG, SABVL, SABVR, SABD, SIB (all), SMD (all), URA (?), URB, URY, VC",,"GLR-5 activity is required for normal brood sizes, especially at high temperatures","Brockie et al, 2001"
,glr-6,F14B4.4,iGluR. (non-NMDA)-type,Glutamate,RIA (thermosensory interneron),"Encodes a putative non-NMDA ionotropic glutamate receptor subunit, most closely related to GLR-5, possibly of the kainate subfamily",,"Brockie et al, 2001; Sprengel et al, 2001"
,glr-7,C43H6.9,iGluR. (non-NMDA)-type,Glutamate," I1(?), I2, I3, I6, MI, NSM ",,,"Brockie et al, 2001"
,glr-8,F22A3.3,iGluR. Unclassifiable as NMDA or non-NMDA (though possibly of the delta subfamily) receptor subunit,Glutamate,"ALM, BDU, I1, I2,  I3, I6, MI, M3, M4, M5, MC, NSM, PLM, URB","Encodes a highly divergent putative ionotropic glutamate receptor subunit, unclassifiable as NMDA or non-NMDA (though possibly of the Delta subfamily), and without any clear close homologs in metazoa or plants",,"Brockie et al, 2001; Sprengel et al, 2001"
,nmr-1,F07F6.6,iGluR. NMDA-type ionotropic glutamate receptor subunit ,Glutamate,"AVA, AVD, AVE, AVG, PVC, RIM and in oocytes and sheath cells ",,Affects the duration of forward movement which is important during foraging behavior; the slow kinetics typical of NMDA-dependent currents are likely important for its effect on forward movement. Also affects osmotic avoidance,"Brockie et al, 2001; Mellem et al, 2002"
,nmr-2,T01C3.10,iGluR. NMDA-type ionotropic glutamate receptor subunit. Most similar to members of the NR2A subfamily of the NMDA class of iGluRs,Glutamate,"AVA, AVD, AVE, AVG, PVC and RIM interneurons beginning at the three-fold stage of embryogenesis",,"Required for full memory retention of a learned avoidance behavior, namely avoidance of NaCl after starvation conditioning. Additionally, NMR-2 activity is required for NMDA-gated currents in the AVA interneuron. nmr-2 expression in AVA and AVE is positively regulated by the FAX-1 nuclear receptor","Brockie et al, 2001; Wightman et al, 2005; Kano et al 2008"
GluR Regulatory proteins,,,,,,,,
"TARPs (TARPs are obligate auxiliary subunits for AMPARs with a primary, evolutionarily conserved functional role in the modification of current kinetics)",stg-1,C18D1.4,One of two transmembrane AMPA receptor Regulatory Proteins (TARPs) in C. elegans. ,,"Most of the interneurons that express nmr-1 also appear to express both stg-1 and stg-2, with the notable exception of the AVA. stg-2, but not stg-1, is strongly expressed in AVA. There is considerable overlap in stg-1 and stg-2 expression patterns. stg-1 is expressed in the nervous system, with expression apparent in most of the neurons that normally express the GLR-1 subunit. GLR-1 and STG-1 colocalize at the tips of muscle arms.","Encodes a claudin homolog that may regulate ion channels (claudins are integral membrane proteins with four transmembrane sequences that are found in mammalian tight junctions (TJs), induce TJs when transgenically expressed in cells normally lacking them, and can mediate the specific conductance of of specific ions (e.g., magnesium or calcium) through TJs while blocking the flow of water)","STG-1 is similar to mammalian voltage-dependent calcium channel gamma subunits that are known or suspected to prevent epilepsy in vivo, however, C18D1.4 has no obvious function in mass RNAi assays ","Walker et al, 2006; Wang et al, 2008"
,stg-2,F12D9.1,One of two transmembrane AMPA receptor Regulatory Proteins (TARPs) in C elegans,,"Most of the interneurons that express nmr-1 also appear to express both stg-1 and stg-2, with the notable exception of the AVA. stg-2, but not stg-1, is strongly expressed in AVA. There is considerable overlap in stg-1 and stg-2 expression patterns.",,,"Walker et al, 2006; Wang et al, 2008"
Function unknown,,,,,,,,
,lgc-32,T19D7.1,Ligand-gated ion channel,,,Encodes  a highly divergent member of the cys-loop ligand-gated ion channel (LGIC) superfamily,,"Jones and Satelle, 2008"
,lgc-33,Y55F3BR.4,Ligand-gated ion channel,,,,,"Jones and Satelle, 2008"
,lgc-43,C43F9.9,Ligand-gated ion channel (LGC-45 group),,,,,"Jones and Satelle, 2008"
,lgc-44,F46F3.2,Ligand-gated ion channel (LGC-45 group),,,,,"Jones and Satelle, 2008"
,lgc-45,W10G11.16,Ligand-gated ion channel (LGC-45 group),,,,,"Jones and Satelle, 2008"
,M03F8.6,M03F8.6,Neurotransmitter-gated ion-channel?,,,,,
Supplementary Information,,,,,,,,
G proteins in C. elegans,,,,,,,There are a total of 21 C. elegans Ga subunits; each of the four subfamilies of Ga proteins found in mammals is represented by one C. elegans ortholog: Gao/i:GOA-1; Gaq: EGL-30; Gas:GSA-1 and Ga12: GPA-12. The remaining 17 have no obvious mammalian orthologs. These are expressed exclusively in sensory neurons and function in chemosensation. There are two Gb subunits; Gb1-4:GPB-1 and Gb5: GPB-2. There are two Gg subunits: GPC-1 and GPC-2.,"Porter and Koelle, 2009"
Homolog/ Ortholog,C. elegans gene,Sequence name,Type,Ligand,Expression pattern,Properties,Other notes,References
NEUROPEPTIDE/NEUROHORMONE RECEPTORS,,,,"See [Li and Kim, 2008] and [Frooninckx et al, 2012] for ligand peptide sequences",,,,"Li and Kim, 2008; Frooninckx et al, 2012"
Class A/Rhodopsin Family of GPCRs,,,,,,,,
Neuropeptide Y(npr)/RFamide receptors group,,,,,,Class A Rhodopsin family-Group IIIB,,"Keating et al., 2003"
